Frequency [Hz];Amplitude ratio;Phase shift [deg]
1;1.0000003762776477;-0.0011480942460295543
6;1.0000135364923506;-0.006896461612947318
11;1.0000454225281659;-0.012677926638477189
16;1.0000958620492704;-0.01851719978633131
21;1.0001646168458993;-0.024434735681842828
26;1.000251417453134;-0.03044625629275225
31;1.000355992963708;-0.03656315724956619
36;1.0004780907312771;-0.04279342321895376
41;1.000617485489384;-0.049142666006190654
46;1.0007739804314473;-0.05561502401664383
51;1.0009474036517867;-0.06221381223886675
56;1.001137602807531;-0.06894192134968594
61;1.0013444398390972;-0.07580201866901419
66;1.001567786653847;-0.08279661660218247
71;1.00180752204021;-0.08992806553866713
76;1.0020635297296296;-0.09719851242764073
81;1.0023356973774975;-0.10460985112998614
86;1.0026239162057824;-0.11216367900451336
91;1.0029280810780437;-0.11986126631512496
96;1.0032480908252739;-0.12770354023634428
101;1.0035838486895878;-0.135691082586023
106;1.0039352627946327;-0.14382413915764275
111;1.004302246584327;-0.15210263809979419
116;1.0046847191958002;-0.1605262148258191
121;1.0050826057495816;-0.16909424120027552
126;1.005495837551659;-0.17780585710428043
131;1.0059243522096777;-0.18666000285296644
136;1.0063680936700463;-0.19565545128545608
141;1.0068270121853222;-0.20479083865347916
146;1.0073010642222981;-0.2140646936929709
151;1.0077902123213915;-0.22347546447462283
156;1.008294424917515;-0.23302154279835352
161;1.00881367613177;-0.24270128602816599
166;1.009347945542322;-0.25251303636364053
171;1.0098972179417476;-0.2624551376176531
176;1.010461483087076;-0.2725259496216663
181;1.0110407354476876;-0.2827238604144429
186;1.01163497395531;-0.2930472963909211
191;1.012244201759505;-0.3034947305984456
196;1.0128684259912548;-0.31406468936994913
201;1.0135076575366224;-0.3247557574803253
206;1.014161910821895;-0.3355665820047059
211;1.0148312036111695;-0.34649587504702806
216;1.0155155568168956;-0.3575424154950992
221;1.0162149943236578;-0.36870504994545134
226;1.0169295428251377;-0.379982692927755
231;1.017659231674083;-0.39137432654543586
236;1.0184040927448665;-0.402878999636172
241;1.0191641603081922;-0.414495826543935
246;1.019939470917363;-0.42622398558276775
251;1.0207300633055156;-0.4380627172620757
256;1.0215359782931426;-0.4500113223336137
261;1.0223572587052738;-0.46206915971174195
266;1.0231939492976307;-0.4742356443107477
271;1.0240460966911187;-0.48651024483612804
276;1.024913749314017;-0.4988924815606545
281;1.02579695735125;-0.5113819241106285
286;1.0266957727001893;-0.5239781892831313
291;1.0276102489324053;-0.5366809389108929
296;1.0285404412608758;-0.5494898777880215
301;1.0294864065121783;-0.5624047516667149
306;1.0304482031031872;-0.5754253453325554
311;1.031425891021916;-0.5885514807638198
316;1.0324195318120641;-0.6017830153783369
321;1.0334291885609852;-0.6151198403699932
326;1.0344549258906972;-0.6285618791356072
331;1.0354968099516884;-0.6421090857919297
336;1.0365549084192403;-0.6557614437816575
341;1.0376292904920204;-0.6695189645666481
346;1.038720026892739;-0.683381686406039
351;1.039827189870683;-0.6973496732165285
356;1.040950853205915;-0.711423013511786
361;1.0420910922150417;-0.7256018194177734
366;1.0432479837583504;-0.739886225760553
371;1.0444216062482259;-0.7542763892231666
376;1.0456120396587185;-0.7687724875680498
381;1.046819365536182;-0.7833747189215476
386;1.048043667010873;-0.798083301117082
391;1.049285028809448;-0.8128984710936115
396;1.0505435372682914;-0.8278204843461435
401;1.0518192803476054;-0.8428496144251316
406;1.0531123476462292;-0.8579861524817524
411;1.054422830417121;-0.8732304068561448
416;1.0557508215834737;-0.888582702705864
421;1.0570964157554503;-0.9040433816719476
426;1.058459709247471;-0.9196128015800805
431;1.0598408000960782;-0.9352913361745554
436;1.0612397880783155;-0.9510793748828138
441;1.0626567747306368;-0.9669773226084893
446;1.064091863368322;-0.9829855995510599
451;1.0655451591053904;-0.9991046410502608
456;1.067016768874998;-1.0153348974535936
461;1.0685068014503412;-1.0316768340053772
466;1.070015367466037;-1.0481309307558786
471;1.071542579439976;-1.0646976824891397
476;1.0730885517956892;-1.0813775986683345
481;1.0746534008851918;-1.0981712033974385
486;1.076237245012315;-1.115079035398158
491;1.077840204456559;-1.1321016480011894
496;1.079462401497437;-1.149239609150864
501;1.0811039604393382;-1.1664935014223867
506;1.0827650076369197;-1.1838639220509042
511;1.0844456715210269;-1.2013514829717344
516;1.0861460826251577;-1.2189568108711242
521;1.0878663736124812;-1.2366805472469733
526;1.0896066793034234;-1.2545233484790181
531;1.0913671367038182;-1.272485885907995
536;1.0931478850336682;-1.2905688459234144
541;1.094949065756487;-1.308772930059496
546;1.09677082260927;-1.3270988550990268
551;1.0986133016330795;-1.345547353184761
556;1.10047665120429;-1.3641191719381518
561;1.1023610220664761;-1.3828150745851906
566;1.1042665673629835;-1.4016358400890954
571;1.106193442670174;-1.4205822632897647
576;1.1081418060313868;-1.4396551550497616
581;1.1101118179916094;-1.458855342406777
586;1.1121036416328867;-1.4781836687324186
591;1.1141174426104827;-1.4976409938972857
596;1.116153389189811;-1.5172281944422212
601;1.118211652284145;-1.5369461637557547
606;1.1202924054931525;-1.5567958122576564
611;1.1223958251422237;-1.5767780675886112
616;1.1245220903226645;-1.5968938748060033
621;1.1266713829327502;-1.6171441965858673
626;1.1288438877196305;-1.637530013430937
631;1.131039792322188;-1.6580523238849576
636;1.1332592873147576;-1.6787121447531794
641;1.1355025662518379;-1.6995105113292015
646;1.13776982571374;-1.7204484776281566
651;1.1400612653532336;-1.7415271166263702
